state,week_start,building_percentage,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cumulative_cases,new_cases
Idaho,2020-03-02,1.075359865,10.142857142857142,12.0,37.57142857142857,9.0,3.5714285714285716,-1.2857142857142858,0.0,0.0
Idaho,2020-03-09,1.048264183,4.857142857142857,20.857142857142858,38.142857142857146,4.428571428571429,0.8571428571428571,0.0,4.0,4.0
Idaho,2020-03-16,0.7662997459999998,-14.857142857142858,14.428571428571429,78.14285714285714,-8.0,-20.857142857142858,7.0,42.0,38.0
Idaho,2020-03-23,0.6409822180000001,-35.57142857142857,-7.285714285714286,24.142857142857142,-25.0,-37.142857142857146,13.285714285714286,281.0,239.0
Idaho,2020-03-30,0.603725656,-39.142857142857146,-11.428571428571429,17.857142857142858,-31.0,-42.0,15.285714285714286,1078.0,797.0
Idaho,2020-04-06,0.6587637600000001,-36.714285714285715,-6.857142857142857,69.57142857142857,-30.714285714285715,-43.0,13.571428571428571,1407.0,329.0
Idaho,2020-04-13,0.643522439,-28.571428571428573,-6.285714285714286,68.85714285714286,-28.142857142857142,-39.0,12.857142857142858,1668.0,261.0
Idaho,2020-04-20,0.6502963589999998,-25.285714285714285,-2.857142857142857,86.28571428571429,-21.714285714285715,-37.57142857142857,11.857142857142858,1897.0,229.0
Idaho,2020-04-27,0.573243014,-19.142857142857142,1.4285714285714286,98.71428571428571,-15.428571428571429,-35.57142857142857,8.857142857142858,2061.0,164.0
Idaho,2020-05-04,0.7163420829999999,-12.0,11.166666666666666,128.83333333333334,-9.833333333333334,-33.0,8.833333333333334,2230.0,142.0
Idaho,2020-05-11,0.7739204059999999,-13.0,6.333333333333333,99.0,-8.333333333333334,-31.5,9.333333333333334,2419.0,121.0
Idaho,2020-05-18,0.689246401,-2.3333333333333335,11.0,114.16666666666667,0.3333333333333333,-29.666666666666668,7.833333333333333,2626.0,207.0
Idaho,2020-05-25,0.709568163,-0.16666666666666666,13.833333333333334,204.66666666666666,7.166666666666667,-33.0,6.333333333333333,2839.0,180.0
Idaho,2020-06-01,0.7688399659999999,3.8333333333333335,14.0,171.33333333333334,8.5,-25.5,5.0,3139.0,272.0
Idaho,2020-06-08,0.7696867059999999,4.666666666666667,13.166666666666666,183.5,9.0,-24.666666666666668,4.833333333333333,3399.0,260.0
Idaho,2020-06-15,0.742591025,7.333333333333333,16.166666666666668,199.5,13.0,-24.833333333333332,3.6666666666666665,4006.0,474.0
Idaho,2020-06-22,0.7527519050000001,6.5,15.5,241.66666666666666,16.833333333333332,-26.333333333333332,3.5,5322.0,859.0
Idaho,2020-06-29,0.696867062,9.666666666666666,23.166666666666668,240.66666666666666,21.0,-32.0,4.333333333333333,7733.0,2035.0
Idaho,2020-07-06,0.655376799,6.5,18.833333333333332,259.5,17.5,-28.5,4.166666666666667,10903.0,2593.0
Idaho,2020-07-13,0.66215072,4.0,17.6,253.4,12.0,-31.4,5.2,13753.0,2850.0
Idaho,2020-07-20,0.652836579,3.2,17.0,248.2,13.0,-31.4,5.2,17265.0,2391.0
Idaho,2020-07-27,0.799322608,2.4,15.6,242.4,12.4,-31.8,5.2,20716.0,2538.0
Idaho,2020-08-03,0.8162574090000001,4.6,16.8,237.8,15.8,-31.6,4.6,23925.0,2815.0
Idaho,2020-08-10,0.751905165,3.6,13.8,231.6,15.2,-31.0,4.2,27171.0,2496.0
Illinois,2020-02-24,1.0,6.142857142857143,5.428571428571429,20.714285714285715,3.857142857142857,2.0,-0.7142857142857143,3.0,1.0
Illinois,2020-03-02,1.0579774749999997,9.857142857142858,9.857142857142858,49.57142857142857,5.0,2.5714285714285716,-1.2857142857142858,7.0,4.0
Illinois,2020-03-09,1.0224659,1.2857142857142858,22.428571428571427,11.428571428571429,-5.857142857142857,-1.5714285714285714,1.2857142857142858,66.0,59.0
Illinois,2020-03-16,0.48881162499999997,-34.714285714285715,9.428571428571429,-18.428571428571427,-39.0,-31.857142857142858,13.857142857142858,1049.0,983.0
Illinois,2020-03-23,0.326973938,-48.714285714285715,-17.285714285714285,-18.571428571428573,-53.0,-46.285714285714285,19.571428571428573,4596.0,3547.0
Illinois,2020-03-30,0.325517815,-44.857142857142854,-11.142857142857142,-0.2857142857142857,-51.42857142857143,-47.42857142857143,19.142857142857142,11259.0,6663.0
Illinois,2020-04-06,0.325517815,-46.714285714285715,-11.857142857142858,1.4285714285714286,-52.285714285714285,-50.285714285714285,19.571428571428573,20852.0,9593.0
Illinois,2020-04-13,0.33030222000000004,-43.42857142857143,-14.142857142857142,-10.714285714285714,-51.142857142857146,-46.57142857142857,19.285714285714285,30357.0,9505.0
Illinois,2020-04-20,0.328846097,-40.714285714285715,-12.285714285714286,0.8571428571428571,-49.42857142857143,-45.857142857142854,18.428571428571427,43903.0,13546.0
Illinois,2020-04-27,0.32676592100000007,-36.142857142857146,-8.285714285714286,22.285714285714285,-44.57142857142857,-43.857142857142854,16.285714285714285,61499.0,17596.0
Illinois,2020-05-04,0.34724079499999994,-33.857142857142854,-1.8571428571428572,8.142857142857142,-44.0,-42.42857142857143,16.285714285714285,77741.0,16242.0
Illinois,2020-05-11,0.3598110010000001,-35.857142857142854,-9.0,17.285714285714285,-44.285714285714285,-41.57142857142857,16.0,94191.0,16450.0
Illinois,2020-05-18,0.38090992799999995,-30.714285714285715,-2.5714285714285716,41.285714285714285,-40.285714285714285,-39.42857142857143,14.142857142857142,110304.0,16113.0
Illinois,2020-05-25,0.35781997600000004,-28.0,-4.571428571428571,62.714285714285715,-37.857142857142854,-39.142857142857146,14.0,120260.0,9956.0
